機構名稱,機構代碼,地址全址,特約服務項目,機構電話,電子郵件,機構負責人姓名,特約起日,特約迄日,最後異動時間
荷蘭村護理之家,A30600009,新竹縣橫山鄉沙坑村中豐路三段76號,喘息服務,03-5811558轉12,holland5811558@gmail.com,陳惠琪,20230101,20241231,20221229 10:30:09
荷蘭村護理之家,A30600009,新竹縣橫山鄉沙坑村中豐路三段76號,喘息服務,03-5811558轉12,holland5811558@gmail.com,陳惠琪,20240101,20241231,20240111 10:10:11
財團法人嘉義市私立保康社會福利慈善事業基金會,BD1200001,嘉義市東區長竹里公義路1號,社區式交通接送服務(BD03),05-2763636#103,cych001992@gmail.com,陳煒,20221201,20251231,20240201 13:49:51
財團法人嘉義市私立保康社會福利慈善事業基金會,BD1200001,嘉義市東區長竹里公義路1號,交通接送服務(DA01),05-2763636#103,cych001992@gmail.com,陳煒,20230101,20251231,20250107 13:43:02
好厝邊長照有限公司附設宜蘭縣私立好厝邊居家長照機構,1X1700003,宜蘭縣羅東鎮純精路三段468號1樓,居家服務,03-9560736,kuan@goodneibr.com,薛文翔,20250101,20251231,20250116 17:32:03
台灣老康泰銀髮服務股份有限公司附設宜蘭縣私立老康泰社區長照機構,2V1700001,宜蘭縣羅東鎮純精路三段266號1樓,喘息服務,03-9560956,oct9560956@gmail.com,邱翊烜,20190101,20251231,20250203 13:36:37
宜蘭縣私立祥德老人長期照顧中心(養護型),A11700020,宜蘭縣宜蘭市東村里陽明三路160巷2號、6號,喘息服務,03-9387733,zkinwo992000@gmail.com,陳可竣,20240501,20241231,20250218 15:23:32
宜蘭縣私立品如老人長期照顧中心(養護型),A11700033,宜蘭縣羅東鎮興東南路232號6樓,喘息服務,03-9552378,c573379@yahoo.com.tw,陳素蓮,20250101,20251231,20250118 23:28:27
宜蘭縣私立幸福老人長期照顧中心(養護型),A11700035,宜蘭縣羅東鎮西安里西安街313號,喘息服務,03-9617611,singfu313@gmail.com,黃昱勝,20250101,20251231,20250208 10:31:24
樂格適小客車租賃有限公司,BA0800002,臺中市豐原區圓環南路141巷5號,交通接送服務(DA01),02-77469759,logostc777@gmail.com,葉書含,20250101,20271231,20250122 12:51:25
有限責任彰化縣大愛照顧服務勞動合作社附設彰化縣私立禎祥綜合式服務類長期照顧服務機構,4N0900001,彰化縣和美鎮竹營里美寮路二段490號,喘息服務,04-7560089,sd370040@yahoo.com.tw,陳國棟,20220101,20261231,20231228 11:50:35
彰化基督教醫療財團法人彰化基督教醫院,B20900002,彰化縣彰化市南校街135號,交通接送服務(DA01),04-7238595#8466,42631@cch.org.tw,陳穆寬,20220101,20261231,20231228 17:56:50
秀傳醫療社團法人秀傳紀念醫院,B20900006,彰化縣彰化市中山路一段542號,專業照護服務,04-7256166#81297,mirella6867@gmail.com,黃明和,20220101,20261231,20231228 17:58:55
社團法人花蓮縣老人暨家庭關懷協會附設花蓮縣私立老家居家式服務類長期照顧服務機構,1R1800001,花蓮縣花蓮市主農里中正路156號3樓,居家服務,03-8330573,ho8330522@gmail.com,楊傑,20210101,20261231,20240613 17:45:56
有限責任臺灣第二照顧服務勞動合作社附設花蓮縣私立居家式服務類長期照顧服務機構,1T1800001,花蓮縣花蓮市民勤里42鄰府前路5之10號,居家服務,03-8230699#219,ching@secondcare.org.tw,伍崑崙,20210101,20261231,20240618 09:13:44
花蓮縣私立關愛如家社區式服務類長期照顧服務機構,2X1800010,花蓮縣花蓮市德安一街257號,家庭托顧服務,0937-164481,w0976072277@gmail.com,王麗媛,20181203,20261231,20240621 14:26:51
名揚護理之家,A31800003,花蓮縣花蓮市中原路408號,喘息服務,03-8322785,u322785@gmail.com,許麗娟,20181201,20261231,20240612 14:36:17
臺中市私立愛鄰居家式服務類長期照顧服務機構,1X0800008,臺中市新社區復盛里華豐街374號1樓,喘息服務,04-25812171,a0987629383@gmail.com,邱成春珍,20220101,20241231,20240717 10:32:39
臺中市私立愛鄰居家式服務類長期照顧服務機構,1X0800008,臺中市新社區復盛里華豐街374號1樓,喘息服務,04-25812171,a0987629383@gmail.com,邱成春珍,20250101,20271231,20250122 17:04:43
臺中市私立美安居家式服務類長期照顧服務機構,1X0800010,臺中市太平區勤益里001鄰中山路一段158號1樓,喘息服務,04-22795617,L09304043@gmail.com,鄂美淑,20250101,20271231,20250123 14:08:36
財團法人臺中市私立家寶社會福利慈善事業基金會附設私立居家長照機構,1S0800005,臺中市沙鹿區鹿寮里032鄰光明街130號4樓403室,喘息服務,04-26623096#70-76,swtung103@gmail.com,童瑞龍,20220101,20241231,20241120 14:47:08
永春護理之家,A31400002,臺南市南區永春街7號1-4樓,交通接送服務(DA01),06-2910236,tn37617055@gmail.com,黃?儀,20190801,20270228,20240401 10:11:02
郭綜合醫院附設居家護理所,B11400014,臺南市中西區水仙里民生路2段24號1-2樓,專業照護服務,06-2221111#1126,home@kgh.com.tw,何佩菁,20210115,20270228,20240325 10:30:03
真善美居家物理治療所,B41400009,臺南市後壁區頂安里頂寮56號1樓,專業照護服務,0910-845100,hwr77721@gmail.com,謝琬如,20181215,20270228,20240325 10:39:28
真善美居家物理治療所,B41400009,臺南市後壁區頂安里頂寮56號1樓,專業照護服務(CC01),0910-845100,hwr77721@gmail.com,謝琬如,20181215,20270228,20240325 10:39:14
衛生福利部澎湖醫院附設護理之家,A32000002,澎湖縣馬公市前寮里90號6樓,喘息服務,06-9211425,yeh_20001019@yahoo.com.tw,葉芳君,20231224,20241231,20231228 16:06:37
天主教靈醫會醫療財團法人惠民醫院,B22000001,澎湖縣馬公市光復里樹德路14號,社區式交通接送服務(BD03),06-9272318,b8807020@yahoo.com.tw,黃浩然,20250101,20261231,20250305 15:33:19
財團法人新竹縣天主教世光教養院附設新竹縣私立北埔社區式服務類長期照顧服務機構,2S0600004,新竹縣北埔鄉北埔村北埔村中正路30號,喘息服務,03-5805586,h874039@yahoo.com.tw,李克勉,20240101,20251231,20250123 16:00:49
社團法人原住民深耕德瑪汶協會附設臺中市私立德瑪汶居家式服務類長期照顧服務機構,1R0800002,臺中市和平區達觀里東崎路一段46之5號,喘息服務,04-25911550,keven750810@yahoo.com.tw,路發尼耀德布藍恩,20250101,20271231,20241205 18:42:32
傑可而股份有限公司私立御歸來居家長照機構,1V0800004,臺中市西區大忠里006鄰大忠南街79號1樓,居家服務,04-23780013,okaeri.hp@gmail.com,蔣國芬,20220101,20241231,20240116 19:50:37
臺中市私立李宜玲居家長照機構,1X0800027,臺中市大里區祥興里033鄰大智路538號7樓,居家服務,0923-196312,goodyiling110@yahoo.com.tw,李宜玲,20250101,20271231,20241112 11:35:08
有限責任台灣全人照顧服務勞動合作社私立居家長照機構,1N0800005,臺中市北屯區平陽里013鄰旅順路一段97之3號1樓,居家服務,04-22470671,org0919@yahoo.com.tw,古印竹,20220101,20221231,20220214 11:13:33
財團法人全成社會福利基金會附設臺中市私立龍井多元社區式服務類長期照顧服務機構,2S0800005,臺中市龍井區龍崗里006鄰竹師路二段62巷16號1樓,小規模多機能服務,04-26369739,qc21408721@gmail.com,聶玉美,20250101,20271231,20250115 14:57:30
財團法人台中市私立甘霖社會福利慈善事業基金會附設臺中市私立柳川家園社區式服務類長期照顧服務機構,2S0800010,臺中市中區柳川里002鄰柳川東路三段5號2樓之1,日間照顧服務,04-22207818,glsfdaycare@gmail.com,謝信男,20220101,20241231,20230620 13:15:14
財團法人台中市私立甘霖社會福利慈善事業基金會附設臺中市私立柳川家園社區式服務類長期照顧服務機構,2S0800010,臺中市中區柳川里002鄰柳川東路三段5號2樓之1,喘息服務,04-22207818,glsfdaycare@gmail.com,謝信男,20250101,20271231,20241126 09:19:10
社團法人花蓮縣老人暨家庭關懷協會附設花蓮縣私立老家居家式服務類長期照顧服務機構,1R1800001,花蓮縣花蓮市主農里中正路156號3樓,喘息服務,03-8330573,ho8330522@gmail.com,楊傑,20181201,20261231,20240613 17:45:24
有限責任臺灣第二照顧服務勞動合作社附設花蓮縣私立居家式服務類長期照顧服務機構,1T1800001,花蓮縣花蓮市民勤里42鄰府前路5之10號,喘息服務,03-8230699#219,ching@secondcare.org.tw,伍崑崙,20190201,20261231,20240618 09:14:00
花蓮縣私立長春養護之家,A11800004,花蓮縣吉安鄉南華村南華二街295號,社區式交通接送服務(BD03),03-8549946,weimin_chang9@hotmail.com,張金蘭,20231201,20261231,20240806 12:46:48
新竹縣銀享社會福利協會,BF0600011,新竹縣新豐鄉山崎村福德街40號,交通接送服務,03-5572298,10703@inshare.com.tw,廖育貞,20191227,20241231,20240119 14:27:53
芊馨園護理之家,A30600008,新竹縣芎林鄉上山村8鄰上山82-12號,喘息服務,03-5927089分機16,c035927089@gmail.com,林君,20210101,20221231,20210806 14:58:49
芊馨園護理之家,A30600008,新竹縣芎林鄉上山村8鄰上山82-12號,喘息服務,03-5927089分機16,c035927089@gmail.com,林君,20220101,20231231,20211214 15:35:49
荷蘭村護理之家,A30600009,新竹縣橫山鄉沙坑村中豐路三段76號,喘息服務,03-5811558轉12,holland5811558@gmail.com,陳惠琪,20240105,20251231,20240105 13:05:41
社團法人嘉義市陽明健康促進會,BE1200003,嘉義市東區東興里東吳鳳北路252號12樓,社區式交通接送服務(BD03),05-2286868,ymhealthcare2018@gmail.com,許雅雯,20190101,20251231,20250107 13:54:23
社團法人嘉義市陽明健康促進會,BE1200003,嘉義市東區東興里東吳鳳北路252號12樓,社區式交通接送服務(BD03),05-2286868,ymhealthcare2018@gmail.com,許雅雯,20210101,20251231,20240201 13:55:59
社團法人嘉義市陽明健康促進會,BE1200003,嘉義市東區東興里東吳鳳北路252號12樓,交通接送服務(DA01),05-2286868,ymhealthcare2018@gmail.com,許雅雯,20190101,20251231,20250107 13:54:23
好厝邊長照有限公司附設宜蘭縣私立好厝邊居家長照機構,1X1700003,宜蘭縣羅東鎮純精路三段468號1樓,喘息服務,03-9560736,kuan@goodneibr.com,薛文翔,20250101,20251231,20250116 17:32:03
台灣老康泰銀髮服務股份有限公司附設宜蘭縣私立老康泰社區長照機構,2V1700001,宜蘭縣羅東鎮純精路三段266號1樓,日間照顧服務,03-9560956,oct9560956@gmail.com,邱翊烜,20200101,20251231,20250203 13:36:20
財團法人台灣省私立毓得社會福利基金會,BD0800002,臺中市東區南門六順路7號,社區式交通接送服務(BD03),04-22809535,ec.yude@gmail.com,蕭清揚,20250101,20271231,20250120 16:41:24
社團法人臺中市秀老郎公益服務協會,BE0800002,臺中市東區十甲里自由路四段314號3樓,社區式交通接送服務(BD03),0925-536535,showold999@gmail.com,蔡文傑,20220101,20241231,20241011 15:56:24
樂格適小客車租賃有限公司,BA0800002,臺中市豐原區圓環南路141巷5號,社區式交通接送服務(BD03),02-77469759,logostc777@gmail.com,葉書含,20220101,20241231,20211220 13:47:21
社團法人臺中市秀老郎公益服務協會,BE0800002,臺中市東區十甲里自由路四段314號3樓,交通接送服務(DA01),0925-536535,showold999@gmail.com,蔡文傑,20220101,20241231,20241011 15:56:24
六福居家護理所,B10400007,桃園市蘆竹區六福路326號3樓,專業照護服務,03-3218880,usl0815@hotmail.com,游秀齡,20240103,20251231,20240108 17:24:58
惠心居家護理所,B10400009,桃園市蘆竹區聯福街10號,專業照護服務,03-3126508,miowo0921@gmail.com,莊靖惠,20231221,20251231,20231225 11:33:11
聯新國際醫院桃新分院附設居家護理所,B10400029,桃園市桃園區南海街7號4樓,專業照護服務,03-3325678,hsuhf@landseed.com.tw,許香芬,20231227,20251231,20231229 11:02:12
桃園市私立恩澤老人長期照顧中心(養護型),A10400004,桃園市桃園區中央街26號1樓,喘息服務,03-3333636,enze.center@gmail.com,李靜怡,20240103,20251231,20240104 13:52:59
桃園市私立八德老人長期照顧中心(養護型),A10400007,桃園市八德區大智里介壽路一段758巷8號,喘息服務,03-2182128,bade2182128@yahoo.com.tw,謝鴻倫,20210101,20240105,20231229 17:38:39
桃園市私立雲鵬老人長期照顧中心(養護型),A10400018,桃園市楊梅區中山北路一段319號,喘息服務,03-4881300,yunpp.ltcc@gmail.com,李鈺堂,20240104,20251231,20240108 17:31:02
桃園市私立旭登居家式服務類長期照顧服務機構,1X0400001,桃園市八德區大強里樹仁三街601號3樓,喘息服務,03-2181190,rr0329@yahoo.com.tw,李昆璋,20231221,20251231,20231226 15:59:16
桃園市私立旭登居家式服務類長期照顧服務機構,1X0400001,桃園市八德區大強里樹仁三街601號3樓,喘息服務,03-2181190,rr0329@yahoo.com.tw,李昆璋,20250101,20271231,20241205 14:26:15
南雅護理之家,A30400027,桃園市桃園區東門里中山東路32-20號7樓-8樓,喘息服務,03-3361501,nanya1040913@gmail.com,黃如霞,20231220,20251231,20231228 23:45:20
臺中市私立金田居家長照機構,1X0800003,臺中市大甲區福德里004鄰順帆路124之20號1樓,居家服務,04-26810820,alq2215@icloud.com,蕭美慈,20250101,20271231,20241226 18:17:41
臺中市私立愛鄰居家式服務類長期照顧服務機構,1X0800008,臺中市新社區復盛里華豐街374號1樓,居家服務,04-25812171,a0987629383@gmail.com,邱成春珍,20250101,20271231,20250122 17:04:43
臺中市私立美安居家式服務類長期照顧服務機構,1X0800010,臺中市太平區勤益里001鄰中山路一段158號1樓,喘息服務,04-22795617,L09304043@gmail.com,鄂美淑,20220101,20241231,20230619 11:25:21
財團法人臺中市私立家寶社會福利慈善事業基金會附設私立居家長照機構,1S0800005,臺中市沙鹿區鹿寮里032鄰光明街130號4樓403室,居家服務,04-26623096#70-76,swtung103@gmail.com,童瑞龍,20220101,20241231,20241120 14:47:08
財團法人臺中市私立家寶社會福利慈善事業基金會附設私立居家長照機構,1S0800005,臺中市沙鹿區鹿寮里032鄰光明街130號4樓403室,喘息服務,04-26623096#70-76,swtung103@gmail.com,童瑞龍,20250101,20271231,20241203 16:10:15
私立長照好幫手居家長照機構,1X0800021,臺中市外埔區大東里甲后路五段128巷66號3樓之1,居家服務,0963-128434,aqd3652@gmail.com,陳智菁,20220101,20241231,20230706 14:01:19
臺中市私立天德居家式服務類長期照顧服務機構,1X0800030,臺中市北屯區平順里009鄰安順東九街58號,喘息服務,0958-221698,tdhomecare2@gmail.com,葉秀美,20250101,20271231,20241204 18:40:41
臺中市私立天德居家式服務類長期照顧服務機構,1X0800030,臺中市北屯區平順里009鄰安順東九街58號,喘息服務,0958-221698,tdhomecare2@gmail.com,葉秀美,20220101,20241231,20230705 15:24:59
宜蘭縣羅東鎮衛生所,B21700011,宜蘭縣羅東鎮賢文里民生路79號,居家失能個案家庭醫師照護服務,03-9542321,chiu-yuan@mail.e-land.gov.tw,徐國祐,20210101,20260331,20250124 13:32:32
A級單位-社團法人宜蘭縣社區照顧促進會,BE1700001,宜蘭縣壯圍鄉吉祥村中央路2段265號,營養餐飲服務,03-9381371#21,yacc.npo@gmail.com,林明珠,20200101,20201231,20201230 19:14:41
臺東縣紅十字會附設居家式服務類長期照顧服務機構,1N1900001,臺東縣臺東市東海里正氣北路109巷122號,喘息服務,089-355112,chening5758@gmail.com,尤憲明,20250101,20251231,20241227 18:09:31
台東縣私立富豐社區式服務類長期照顧服務機構,2X1900007,臺東縣臺東市富豐里吉林路一段249巷47號,家庭托顧服務,0919-639536,n00018@st-mary.org.tw,張秀妃,20250101,20251231,20241227 19:04:41
財團法人一粒麥子社會福利慈善事業基金會附設台東縣私立有福居家式服務類長期照顧服務機構,1S1900001,臺東縣臺東市新生里寧波街195號,到宅沐浴車服務,089-960203#6824,a05016@tch.org.tw,呂信雄,20210101,20241231,20220113 16:45:45
財團法人一粒麥子社會福利慈善事業基金會附設台東縣私立有福居家式服務類長期照顧服務機構,1S1900001,臺東縣臺東市新生里寧波街195號,喘息服務,089-960203#6824,a05016@tch.org.tw,呂信雄,20250101,20251231,20241227 15:41:01
佛教慈濟醫療財團法人附設台東縣私立關山慈濟居家式服務類長期照顧服務機構,1U1900002,臺東縣關山鎮豐泉里和平路125之5號,居家服務,089-814880,m12220114@tzuchi.com.tw,釋證嚴,20250101,20251231,20241227 19:17:22
佛教慈濟醫療財團法人附設台東縣私立關山慈濟居家式服務類長期照顧服務機構,1U1900002,臺東縣關山鎮豐泉里和平路125之5號,居家服務,089-814880,m12220114@tzuchi.com.tw,釋證嚴,20210101,20241231,20201229 16:46:00
臺東縣鹿野鄉衛生所附設居家護理所,B11900012,臺東縣鹿野鄉中華路一段418號,專業照護服務,089-551074,vaclav67@yahoo.com.tw,許懷文,20250101,20251231,20241227 18:06:16
新竹縣銀享社會福利協會,BF0600011,新竹縣新豐鄉山崎村福德街40號,喘息服務,03-5572298,10703@inshare.com.tw,廖育貞,20240101,20251231,20250122 14:24:47
新竹縣銀享社會福利協會,BF0600011,新竹縣新豐鄉山崎村福德街40號,喘息服務,03-5572298,10703@inshare.com.tw,廖育貞,20210101,20221231,20210803 00:32:19
新竹縣私立康福長期照顧中心(養護型),A10600006,新竹縣新豐鄉後湖村十一股12-1號,日間照顧服務,03-5688925,kang.fu@msa.hinet.net,彭柏硯,20230101,20251231,20231229 14:46:47
財團法人全成社會福利基金會附設臺中市私立龍井多元社區式服務類長期照顧服務機構,2S0800005,臺中市龍井區龍崗里006鄰竹師路二段62巷16號1樓,小規模多機能服務,04-26369739,qc21408721@gmail.com,聶玉美,20220101,20241231,20230714 11:35:21
社團法人南投縣慈慧善行協會附設南投縣私立慈慧居家式長期照顧服務機構,1R1000007,南投縣集集鎮集集里民生路342號,喘息服務,049-2763012,tsuhuey1@ms33.hinet.net,林玟均,20240101,20251231,20240129 11:17:50
社團法人南投縣慈慧善行協會附設南投縣私立慈慧居家式長期照顧服務機構,1R1000007,南投縣集集鎮集集里民生路342號,喘息服務,049-2763012,tsuhuey1@ms33.hinet.net,林玟均,20180101,20211231,20190703 17:34:55
新北市平溪區衛生所,B20200016,新北市平溪區公園街17號,居家失能個案家庭醫師照護服務,02-24951015,tpc262@ntpc.gov.tw,廖廣榆,20220101,20241231,20241227 09:00:40
高雄市私立康乃心老人長期照顧中心(養護型),A11500110,高雄市美濃區中圳里泰中路207號1-2樓,喘息服務,07-6822033,zh.kns6822033@gmail.com,潘南珠,20240701,20261231,20240628 17:21:58
財團法人平安社會福利慈善事業基金會附設澎湖縣私立平安白沙社區式服務類長期照顧服務機構,2S2000002,澎湖縣白沙鄉講美村103之1號,喘息服務,06-9933531,penan92012708@gmail.com,吳志仁,20240626,20251231,20241212 17:08:46
臺北市私立福喜老人長期照顧中心(養護型),A10100058,臺北市中山區松江路374、380、382號7樓,喘息服務,02-25919087,xi25917151@gmail.com,柯乾元,20191030,20241231,20221230 18:21:08
臺中市私立天德居家式服務類長期照顧服務機構,1X0800030,臺中市北屯區平順里009鄰安順東九街58號,居家服務,0958-221698,tdhomecare2@gmail.com,葉秀美,20220101,20241231,20230705 15:24:59
私立長照好幫手居家長照機構,1X0800021,臺中市外埔區大東里甲后路五段128巷66號3樓之1,居家服務,0963-128434,aqd3652@gmail.com,陳智菁,20250101,20271231,20241225 13:08:12
臺中市私立香柏木居家式服務類長期照顧服務機構,1X0800023,臺中市烏日區九德里長春街586號1樓,居家服務,04-23366962,wuhome52@gmail.com,吳銘堂,20250101,20271231,20250109 16:04:57
財團法人天主教聖母聖心修女會附設私立惠華居家長照機構,1S0800014,臺中市中區公園里市府路103號3樓,居家服務,04-22227181 #322,stella.old@msa.hinet.net,吳富柔,20220101,20241231,20230802 10:04:19
財團法人天主教聖母聖心修女會附設私立惠華居家長照機構,1S0800014,臺中市中區公園里市府路103號3樓,喘息服務,04-22227181 #322,stella.old@msa.hinet.net,吳富柔,20220101,20241231,20230802 10:04:19
臺中市私立明康居家式服務類長期照顧服務機構,1X0800032,臺中市北屯區平昌里昌平路一段40號1樓,居家服務,04-22339916,ccijenny@hotmail.com.tw,張靜宜,20250101,20271231,20250123 13:48:43
好樂齡銀髮事業有限公司附設臺中市私立顧老照居家式服務類長期照顧服務機構,1V0800007,臺中市北屯區平田里001鄰文心路四段955號4樓之4,喘息服務,04-22474455,howard.service@msa.hinet.net,林峻宏,20220101,20241231,20230629 16:44:16
財團法人台中市私立甘霖社會福利慈善事業基金會附設臺中市私立人瑞家園社區式服務類長期照顧服務機構,2S0800009,臺中市中區柳川里柳川東路三段5號4樓之1,日間照顧服務,04-22201872,ppoldold@gmail.com,謝信男,20250101,20271231,20241126 09:20:25
財團法人全成社會福利基金會附設臺中市私立春社社區式服務類長期照顧服務機構,2S0800016,臺中市南屯區春社里006鄰忠勇路23之12號2樓,日間照顧服務,04-23890781,qc23890781@gmail.com,聶玉美,20250101,20271231,20250122 17:28:10
葡萄園護理之家,A30800001,臺中市大里區東興里國光路二段500號1樓,喘息服務,04-24812439,t6686.med@gmail.com,莊雅燕,20250101,20271231,20241216 16:22:42
葡萄園護理之家,A30800001,臺中市大里區東興里國光路二段500號1樓,喘息服務,04-24812439,t6686.med@gmail.com,莊雅燕,20220101,20241231,20230626 19:34:22
桃園市私立大溪老人長期照顧中心(養護型),A10400028,桃園市大溪區一心里慈湖路85號4樓,喘息服務,03-3870119,dasi8543870119@gmail.com,謝鴻倫,20230325,20241231,20230328 16:21:27
桃園市私立家瑞居家長照機構(元福),1X0400005,桃園市大溪區仁武里仁善一街95號,居家服務,03-3804675,yuanfu3909835@gmail.com,張家溱,20190101,20261231,20250101 14:24:48
社團法人桃園市社會服務關懷協會,BE0400004,桃園市龜山區山頂里文三三街5巷5號,營養餐飲服務,03-3181947,aa3594375@gmail.com,陳敬吾,20210101,20221231,20201231 22:03:22
有限責任臺南市平安照顧服務勞動合作社附設臺南市私立平安居家式服務類長期照顧服務機構,1T1400001,臺南市新營區大宏里大同路1-3樓,居家服務,06-6378983,tongmay501@gmail.com,鄭百賀,20180101,20270228,20250114 12:25:21
社團法人臺南市弘福社區關懷照顧服務協會附設臺南市私立北門社區式服務類長期照顧服務機構,2R1400008,臺南市北門區北門里舊埕66號2樓,喘息服務,06-7862531,bmdc@homefu.org,林筱軒,20220115,20270228,20240301 16:15:53
社團法人高雄市受恩社區關懷協會附設臺南市私立受恩社區長照機構,2N1400003,臺南市白河區永安里大德街33號2樓,小規模多機能服務,06-6895383,bhdc@stipendiary.tw,劉庭軒,20200101,20231231,20230131 09:20:50
台南市私立聖功老人養護中心,A11400020,臺南市北區元美里文成路785號3樓,喘息服務,06-3582710,shenggong23@yahoo.com.tw,邱孟秋,20180101,20270228,20240319 11:58:30
臺南市私立馨園老人長期照顧中心(養護型),A11400023,臺南市學甲區新達里中山路98號,喘息服務,06-7834077,r7834077@yahoo.com.tw,邱孟秋,20180412,20270228,20240320 13:53:34
臺南市私立慈安老人長期照顧中心(養護型),A11400029,臺南市仁德區成功里成功二街200號,喘息服務,06-2905728,csf821225@yahoo.com.tw,賴慧君,20181008,20270228,20240320 13:59:59
臺中市私立明康居家式服務類長期照顧服務機構,1X0800032,臺中市北屯區平昌里昌平路一段40號1樓,喘息服務,04-22339916,ccijenny@hotmail.com.tw,張靜宜,20250101,20271231,20250123 13:49:02
臺中市私立明康居家式服務類長期照顧服務機構,1X0800032,臺中市北屯區平昌里昌平路一段40號1樓,居家服務,04-22339916,ccijenny@hotmail.com.tw,張靜宜,20220101,20241231,20230629 16:29:51
好樂齡銀髮事業有限公司附設臺中市私立顧老照居家式服務類長期照顧服務機構,1V0800007,臺中市北屯區平田里001鄰文心路四段955號4樓之4,喘息服務,04-22474455,howard.service@msa.hinet.net,林峻宏,20250101,20271231,20250123 13:47:05
臺中市私立妙純居家長照機構,1X0800040,臺中市神岡區大社里大漢街105巷17號1樓、2樓,居家服務,04-25295729,amy062388@yahoo.com.tw,戴妙純,20250101,20271231,20241226 11:42:04
臺中市私立妙純居家長照機構,1X0800040,臺中市神岡區大社里大漢街105巷17號1樓、2樓,喘息服務,04-25295729,amy062388@yahoo.com.tw,戴妙純,20250101,20271231,20241226 11:42:04
財團法人台中市私立甘霖社會福利慈善事業基金會附設臺中市私立人瑞家園社區式服務類長期照顧服務機構,2S0800009,臺中市中區柳川里柳川東路三段5號4樓之1,喘息服務,04-22201872,ppoldold@gmail.com,謝信男,20220101,20241231,20230620 13:14:42
財團法人全成社會福利基金會附設臺中市私立春社社區式服務類長期照顧服務機構,2S0800016,臺中市南屯區春社里006鄰忠勇路23之12號2樓,喘息服務,04-23890781,qc23890781@gmail.com,聶玉美,20220101,20241231,20230719 10:14:18
財團法人全成社會福利基金會附設臺中市私立春社社區式服務類長期照顧服務機構,2S0800016,臺中市南屯區春社里006鄰忠勇路23之12號2樓,日間照顧服務,04-23890781,qc23890781@gmail.com,聶玉美,20220101,20241231,20230719 10:14:18
財團法人全成社會福利基金會附設臺中市私立春社社區式服務類長期照顧服務機構,2S0800016,臺中市南屯區春社里006鄰忠勇路23之12號2樓,喘息服務,04-23890781,qc23890781@gmail.com,聶玉美,20250101,20271231,20250122 17:28:10
臺中市私立長庚老人養護中心,A10800004,臺中市西區忠誠里精誠路72號,喘息服務,04-23103586,dc369852@yahoo.com.tw,黃金梅,20220101,20241231,20230723 23:29:29
財團法人臺中市私立好耆老人長期照顧中心(養護型),A10800006,臺中市梧棲區南簡里星美路197號,喘息服務,04-26630197,goodnumber3885@gmail.com,王志財,20220101,20241231,20230616 14:55:40
潤康護理之家,A30800004,臺中市太平區聖和里002長龍路一段268號,喘息服務,04-22799901,ruencome@dercome.org.tw,許晏寧,20240108,20241231,20240125 15:52:52
慶燿診所,B20800004,臺中市南區國光里國光路241號,居家失能個案家庭醫師照護服務,04-22872877,linhengkuei@gmail.com,林恆圭,20240701,20261231,20240523 08:46:50
財團法人臺灣省私立永信社會福利基金會附設臺中市私立心佳社區式服務類長期照顧服務機構,2S0800004,臺中市清水區中社里鎮政路99巷10號1樓及2樓,團體家屋服務,04-26270812,u90251@yungshingroup.com,李芳裕,20230101,20231231,20230222 08:56:22
財團法人臺灣省私立永信社會福利基金會附設臺中市私立心佳社區式服務類長期照顧服務機構,2S0800004,臺中市清水區中社里鎮政路99巷10號1樓及2樓,小規模多機能服務,04-26270812,u90251@yungshingroup.com,李芳裕,20250101,20271231,20250107 13:30:52
財團法人台中市私立甘霖社會福利慈善事業基金會附設臺中市私立柳川家園社區式服務類長期照顧服務機構,2S0800010,臺中市中區柳川里002鄰柳川東路三段5號2樓之1,喘息服務,04-22207818,glsfdaycare@gmail.com,謝信男,20220101,20241231,20230620 13:15:14
財團法人台中市私立甘霖社會福利慈善事業基金會附設臺中市私立樂多家園社區式服務類長期照顧服務機構,2S0800014,臺中市西區三民里015鄰公館路138號2樓,喘息服務,04-23710073,glsf21448245@gmail.com,謝信男,20250101,20271231,20250204 14:38:09
社團法人台灣福氣社區關懷協會附設臺中市私立福氣綜合式服務類長期照顧服務機構,4R0800001,臺中市梧棲區頂寮里025鄰四維路85巷27號1樓,居家服務,04-26571300,fortune0619@gmail.com,孫德利,20220101,20241231,20230629 10:31:44
社團法人台灣福氣社區關懷協會附設臺中市私立福氣綜合式服務類長期照顧服務機構,4R0800001,臺中市梧棲區頂寮里025鄰四維路85巷27號1樓,喘息服務,04-26571300,fortune0619@gmail.com,孫德利,20220101,20241231,20230629 10:31:44
社團法人台灣福氣社區關懷協會附設臺中市私立福氣綜合式服務類長期照顧服務機構,4R0800001,臺中市梧棲區頂寮里025鄰四維路85巷27號1樓,小規模多機能服務,04-26571300,fortune0619@gmail.com,孫德利,20220101,20241231,20230629 10:31:44
臺中市私立永和老人長期照顧中心(養護型),A10800014,臺中市大甲區文曲里育英路128號,喘息服務,04-26870788,yongho.yahoo@msa.hinet.net,林富美,20250101,20271231,20241217 18:56:00
台中市德康護理之家,A30800012,臺中市東區東勢里21鄰玉皇街63號6樓及7樓,喘息服務,04-22154179,liya191751@gmail.com,尤苑婷,20250101,20271231,20250121 14:23:54
